Temp:	U:
-3.13641024E-03	0.845E-6
-3.13783360E-03	0.875E-6
-3.13113280E-03	0.840E-6
-3.11830336E-03	0.863E-6
-3.10714496E-03	0.858E-6
-3.09706336E-03	0.828E-6
-3.09124032E-03	0.868E-6
-3.09121760E-03	0.883E-6
-3.08859296E-03	0.825E-6
-3.07177632E-03	0.830E-6
-3.06009440E-03	0.863E-6
-3.05944480E-03	0.855E-6
-3.05843040E-03	0.855E-6
-3.04636960E-03	0.850E-6
-3.03191392E-03	0.833E-6
-3.02666688E-03	0.855E-6
-3.02837216E-03	0.888E-6
-3.01995616E-03	0.850E-6
-3.00496640E-03	0.820E-6
-2.99499456E-03	0.883E-6
-2.99850944E-03	0.888E-6
-2.99005024E-03	0.815E-6
-2.97248512E-03	0.830E-6
-2.96821600E-03	0.880E-6
-2.97130144E-03	0.890E-6
-2.95789376E-03	0.818E-6
-2.94669920E-03	0.863E-6
-2.93632768E-03	0.895E-6
-2.93975168E-03	0.868E-6
-2.93423008E-03	0.830E-6
-2.92258368E-03	0.838E-6
-2.91223776E-03	0.883E-6
-2.90044128E-03	0.880E-6
-2.89956000E-03	0.850E-6
-2.90055136E-03	0.880E-6
-2.88256384E-03	0.855E-6
-2.87261664E-03	0.840E-6
-2.86981088E-03	0.865E-6
-2.87259360E-03	0.895E-6
-2.85897408E-03	0.828E-6
-2.84733088E-03	0.820E-6
-2.83773440E-03	0.903E-6
-2.84345760E-03	0.878E-6
-2.82284736E-03	0.875E-6
-2.81695296E-03	0.858E-6
-2.80864736E-03	0.865E-6
-2.80921728E-03	0.855E-6
-2.80930880E-03	0.880E-6
-2.79592576E-03	0.840E-6
-2.79395744E-03	0.850E-6
-2.78067488E-03	0.820E-6
-2.76869024E-03	0.893E-6
-2.76770272E-03	0.870E-6
-2.76819680E-03	0.880E-6
-2.75802464E-03	0.843E-6
-2.74039808E-03	0.883E-6
-2.73850560E-03	0.890E-6
-2.73903008E-03	0.880E-6
-2.73370368E-03	0.855E-6
-2.71677472E-03	0.855E-6
-2.70813248E-03	0.905E-6
-2.71044416E-03	0.900E-6
-2.70720384E-03	0.855E-6
-2.69386816E-03	0.828E-6
-2.69272512E-03	0.900E-6
-2.68517888E-03	0.913E-6
-2.67855216E-03	0.875E-6
-2.66995024E-03	0.843E-6
-2.65452256E-03	0.878E-6
-2.64798160E-03	0.895E-6
-2.65188784E-03	0.913E-6
-2.64547808E-03	0.858E-6
-2.62947504E-03	0.855E-6
-2.61919456E-03	0.903E-6
-2.62208528E-03	0.883E-6
-2.61946240E-03	0.878E-6
-2.60343216E-03	0.883E-6
-2.59454304E-03	0.900E-6
-2.58922720E-03	0.868E-6
-2.59070176E-03	0.863E-6
-2.57282368E-03	0.815E-6
-2.56681504E-03	0.893E-6
-2.57271728E-03	0.900E-6
-2.56555808E-03	0.895E-6
-2.54491584E-03	0.870E-6
-2.53791248E-03	0.868E-6
-2.53388832E-03	0.858E-6
-2.53424224E-03	0.918E-6
-2.52665872E-03	0.913E-6
-2.52589568E-03	0.878E-6
-2.51127200E-03	0.838E-6
-2.49762272E-03	0.908E-6
-2.49670128E-03	0.913E-6
-2.48444400E-03	0.875E-6
-2.47762208E-03	0.918E-6
-2.46980896E-03	0.875E-6
-2.46640848E-03	0.890E-6
-2.46685648E-03	0.913E-6
-2.46043856E-03	0.875E-6
-2.44185984E-03	0.858E-6
-2.43453888E-03	0.918E-6
-2.43611936E-03	0.893E-6
-2.43093072E-03	0.900E-6
-2.41441664E-03	0.880E-6
-2.40216608E-03	0.883E-6
-2.40325424E-03	0.905E-6
-2.40134464E-03	0.918E-6
-2.38860224E-03	0.863E-6
-2.37252224E-03	0.893E-6
-2.36910384E-03	0.925E-6
-2.37161920E-03	0.893E-6
-2.36143280E-03	0.895E-6
-2.34480304E-03	0.895E-6
-2.33408432E-03	0.895E-6
-2.33624160E-03	0.870E-6
-2.33255712E-03	0.893E-6
-2.32571952E-03	0.903E-6
-2.31622064E-03	0.875E-6
-2.29733504E-03	0.903E-6
-2.29123040E-03	0.893E-6
-2.29391504E-03	0.905E-6
-2.27405760E-03	0.903E-6
-2.27163072E-03	0.880E-6
-2.25883792E-03	0.880E-6
-2.26422672E-03	0.913E-6
-2.25533840E-03	0.928E-6
-2.24238688E-03	0.858E-6
-2.23006128E-03	0.915E-6
-2.22823072E-03	0.920E-6
-2.22779824E-03	0.893E-6
-2.21986608E-03	0.863E-6
-2.20174848E-03	0.893E-6
-2.19485984E-03	0.908E-6
-2.19537008E-03	0.890E-6
-2.19291264E-03	0.903E-6
-2.17922880E-03	0.908E-6
-2.16584848E-03	0.890E-6
-2.16409584E-03	0.913E-6
-2.16462720E-03	0.895E-6
-2.15127360E-03	0.930E-6
-2.14956816E-03	0.945E-6
-2.14210832E-03	0.913E-6
-2.12566288E-03	0.890E-6
-2.12375328E-03	0.880E-6
-2.11963680E-03	0.890E-6
-2.11361792E-03	0.920E-6
-2.10623488E-03	0.920E-6
-2.08920800E-03	0.865E-6
-2.07762976E-03	0.890E-6
-2.07441744E-03	0.933E-6
-2.07656832E-03	0.920E-6
-2.06863392E-03	0.895E-6
-2.05038720E-03	0.883E-6
-2.04472736E-03	0.918E-6
-2.04746144E-03	0.920E-6
-2.04105328E-03	0.905E-6
-2.02741024E-03	0.875E-6
-2.02606128E-03	0.893E-6
-2.00689264E-03	0.895E-6
-1.99945024E-03	0.925E-6
-2.00081648E-03	0.900E-6
-1.99857424E-03	0.915E-6
-1.99041664E-03	0.908E-6
-1.97157088E-03	0.908E-6
-1.97452608E-03	0.880E-6
-1.97006688E-03	0.893E-6
-1.95095872E-03	0.890E-6
-1.95638576E-03	0.938E-6
-1.94091008E-03	0.913E-6
-1.92916320E-03	0.913E-6
-1.92731712E-03	0.903E-6
-1.92852976E-03	0.888E-6
-1.91855696E-03	0.893E-6
-1.90791936E-03	0.890E-6
-1.90123696E-03	0.905E-6
-1.88669200E-03	0.900E-6
-1.89003744E-03	0.945E-6
-1.87763296E-03	0.908E-6
-1.86608096E-03	0.903E-6
